X, Y, Z
-0.000719354,-0.730138,0.894205
0.00561133,-0.73362,0.897162
0.0137091,-0.738683,0.896255
-0.399729,-0.730345,0.896258
-0.0116036,-0.730029,0.899672
-0.00505878,-0.729801,0.89921
0.00169839,-0.731352,0.900574
-0.399618,-0.687619,0.915628
-0.399857,-0.682883,0.915661
-0.399703,-0.650079,0.929623
-0.399984,-0.619329,0.940922
-0.399336,-0.614826,0.940898
-0.399984,-0.497679,0.985199
-0.394908,-0.451684,0.997682
-0.397201,-0.447246,1.00249
-0.392336,-0.433782,1.0069
-0.388576,-0.43367,1.01098
-0.394299,-0.427363,1.0092
-0.397683,-0.417444,1.01227
-0.398459,-0.36441,1.02838
-0.398488,-0.363836,1.03249
-0.397801,-0.774492,0.888704
0.0678818,-0.77278,0.889327
0.0715246,-0.776203,0.888081
-0.399015,-0.769927,0.890365
0.0587745,-0.765363,0.892026
0.064846,-0.769927,0.890365
0.0259886,-0.745394,0.899294
0.0344886,-0.749008,0.897979
0.00655982,-0.734554,0.90324
0.0146551,-0.739879,0.901301
-0.0110475,-0.731131,0.904486
-0.0025474,-0.731131,0.904486
-0.386872,-0.433313,1.01288
